mod, spec_num, cond_pep, spec_num/cond_pep,,, pep_num, pep_num/cond_pep
Leiker_CLV[334][K],349982,276944,1.263728,1,100,17408,0.062857
Leiker_CLV[334][S],8567,644011,0.013303,,,1261,0.001958
Leiker_CLV[334][T],1332,602658,0.00221,,,393,0.000652
Leiker_CLV[334][Y],644,319795,0.002014,,,162,0.000507
,10543,1566464,0.006730445,0.005325865,0.532586532,1816,0.003117
Leiker_CLV[334][G],1366,817276,0.001671,,,421,0.000515
Leiker_CLV[334][V],1595,790186,0.002019,,,342,0.000433
Leiker_CLV[334][L],1203,1182335,0.001017,,,369,0.000312
,4164,2789797,0.001492582,0.001181094,0.118109413,1132,0.00126
