mod, spec_num, cond_pep, spec_num/cond_pep,, pep_num, pep_num/cond_pep
Xlink_DSS[156][K],18423,936065,0.019681,100,8546,0.00913
Xlink_DSS[156][S],1068,2242802,0.000476,,647,0.000288
Xlink_DSS[156][T],688,1441470,0.000477,,391,0.000271
Xlink_DSS[156][Y],222,695924,0.000319,,123,0.000177
,1978,4380196,0.000451578,2.294486896,,
Xlink_DSS[156][G],294,1698250,0.000173,,217,0.000128
Xlink_DSS[156][V],202,1653547,0.000122,,154,0.000093
Xlink_DSS[156][L],161,2682919,0.00006,,115,0.000043
,657,6034716,0.00010887,0.553173506,,
